t,e0,e1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
0.000000,0,1
